	Thermal filter C8 P13678/C8 P13661 1.5M 100nm Cu                                								
185.483786	0.780284314								
185.735802	0.780568627								
185.987818	0.780421569								
186.239834	0.780862745								
186.49185	0.78045098								
186.743866	0.780176471								
186.995882	0.779970588								
187.247898	0.779519608								
187.499914	0.779470588								
187.75193	0.779264706								
188.003946	0.776088235								
188.255962	0.772715686								
188.507978	0.776362745								
188.759994	0.778656863								
189.01201	0.779215686								
189.264026	0.778058824								
189.516042	0.778205882								
189.768058	0.778588235								
190.020074	0.77704902								
190.27209	0.776254902								
190.524106	0.775970588								
190.776122	0.775284314								
191.028138	0.775117647								
191.280154	0.774627451								
191.53217	0.772588235								
191.784186	0.770656863								
192.036202	0.769058824								
192.288218	0.767333333								
192.540234	0.766588235								
192.79225	0.76545098								
193.044266	0.764647059								
193.296282	0.762676471								
193.548298	0.761813725								
193.800314	0.764019608								
194.05233	0.76327451								
194.304346	0.759882353								
194.556362	0.760147059								
194.808378	0.760941176								
195.060394	0.761058824								
195.31241	0.761421569								
195.564426	0.760794118								
195.816442	0.760892157								
196.068458	0.761568627								
196.320474	0.761990196								
196.57249	0.762588235								
196.824506	0.76304902								
197.076522	0.762156863								
197.328538	0.760970588								
197.580554	0.761078431								
197.83257	0.760990196								
198.084586	0.760029412								
198.336602	0.759598039								
198.588618	0.759647059								
198.840634	0.760392157								
199.09265	0.760578431								
199.344666	0.760617647								
199.596682	0.759098039								
199.848698	0.758098039								
200.100714	0.756656863								
200.35273	0.753980392								
200.604746	0.754686275								
200.856762	0.753980392								
201.108778	0.751470588								
201.360794	0.748872549								
201.61281	0.747696078								
201.864826	0.745372549								
202.116842	0.739117647								
202.368858	0.725901961								
202.620874	0.709813725								
202.87289	0.722745098								
203.124906	0.735568627								
203.376922	0.739970588								
203.628938	0.741715686								
203.880954	0.742166667								
204.13297	0.742617647								
204.384986	0.742617647								
204.637002	0.742088235								
204.889018	0.741607843								
205.141034	0.742186275								
205.39305	0.74245098								
205.645066	0.742147059								
205.897082	0.74177451								
206.149098	0.741460784								
206.401114	0.742637255								
206.65313	0.742941176								
206.905146	0.742480392								
207.157162	0.742098039								
207.409178	0.740852941								
207.661194	0.740088235								
207.91321	0.738068627								
208.165226	0.733794118								
208.417242	0.731813725								
208.669258	0.734852941								
208.921274	0.735088235								
209.17329	0.735294118								
209.425306	0.735735294								
209.677322	0.736127451								
209.929338	0.735823529								
210.181354	0.734852941								
210.43337	0.733568627								
210.685386	0.732186275								
210.937402	0.730490196								
211.189418	0.729352941								
211.441434	0.729009804								
211.69345	0.72827451								
211.945466	0.727176471								
212.197482	0.726441176								
212.449498	0.724539216								
212.701514	0.722803922								
212.95353	0.723176471								
213.205546	0.723352941								
213.457562	0.723039216								
213.709578	0.721058824								
213.961594	0.719666667								
214.21361	0.72177451								
